j1,j2,j3,j4,j5,j6,j7,j8,j9,j10,j11,j12,j13,j14,j15,j16,j17,j18,j19,j20,j21,j22,j23,j24,j25
0,-0.164262925,1.570796327,0.164162925,0,0,0,0,0,-0.490742191,0.882934626,-0.441462313,0,0,-0.490742191,0.882934626,-0.441462313,0,1.570796327,-0.164162925,0,0,0,0,0
0,-0.153992925,1.570796327,0.153792925,0,0,0,0,0,-0.492792191,0.893204626,-0.446592313,0,0,-0.492792191,0.893204626,-0.446592313,0,1.570796327,-0.153792925,0,0,0,0,0
0,-0.143722925,1.570796327,0.143422925,0,0,0,0,0,-0.494842191,0.903474626,-0.451722313,0,0,-0.494842191,0.903474626,-0.451722313,0,1.570796327,-0.143422925,0,0,0,0,0
0,-0.133452925,1.570796327,0.133052925,0,0,0,0,0,-0.496892191,0.913744626,-0.456852313,0,0,-0.496892191,0.913744626,-0.456852313,0,1.570796327,-0.133052925,0,0,0,0,0
0,-0.123182925,1.570796327,0.122682925,0,0,0,0,0,-0.498942191,0.924014626,-0.461982313,0,0,-0.498942191,0.924014626,-0.461982313,0,1.570796327,-0.122682925,0,0,0,0,0
0,-0.112912925,1.570796327,0.112312925,0,0,0,0,0,-0.500992191,0.934284626,-0.467112313,0,0,-0.500992191,0.934284626,-0.467112313,0,1.570796327,-0.112312925,0,0,0,0,0
0,-0.102642925,1.570796327,0.101942925,0,0,0,0,0,-0.503042191,0.944554626,-0.472242313,0,0,-0.503042191,0.944554626,-0.472242313,0,1.570796327,-0.101942925,0,0,0,0,0
0,-0.092372925,1.570796327,0.091572925,0,0,0,0,0,-0.505092191,0.954824626,-0.477372313,0,0,-0.505092191,0.954824626,-0.477372313,0,1.570796327,-0.091572925,0,0,0,0,0
0,-0.082102925,1.570796327,0.081202925,0,0,0,0,0,-0.507142191,0.965094626,-0.482502313,0,0,-0.507142191,0.965094626,-0.482502313,0,1.570796327,-0.081202925,0,0,0,0,0
0,-0.071832925,1.570796327,0.070832925,0,0,0,0,0,-0.509192191,0.975364626,-0.487632313,0,0,-0.509192191,0.975364626,-0.487632313,0,1.570796327,-0.070832925,0,0,0,0,0
0,-0.061562925,1.570796327,0.060462925,0,0,0,0,0,-0.511242191,0.985634626,-0.492762313,0,0,-0.511242191,0.985634626,-0.492762313,0,1.570796327,-0.060462925,0,0,0,0,0
0,-0.051292925,1.570796327,0.050092925,0,0,0,0,0,-0.513292191,0.995904626,-0.497892313,0,0,-0.513292191,0.995904626,-0.497892313,0,1.570796327,-0.050092925,0,0,0,0,0
0,-0.041022925,1.570796327,0.039722925,0,0,0,0,0,-0.515342191,1.006174626,-0.503022313,0,0,-0.515342191,1.006174626,-0.503022313,0,1.570796327,-0.039722925,0,0,0,0,0
0,-0.030752925,1.570796327,0.029352925,0,0,0,0,0,-0.517392191,1.016444626,-0.508152313,0,0,-0.517392191,1.016444626,-0.508152313,0,1.570796327,-0.029352925,0,0,0,0,0
0,-0.020482925,1.570796327,0.018982925,0,0,0,0,0,-0.519442191,1.026714626,-0.513282313,0,0,-0.519442191,1.026714626,-0.513282313,0,1.570796327,-0.018982925,0,0,0,0,0
0,-0.010212925,1.570796327,0.008612925,0,0,0,0,0,-0.521492191,1.036984626,-0.518412313,0,0,-0.521492191,1.036984626,-0.518412313,0,1.570796327,-0.008612925,0,0,0,0,0
0,-0.010212925,1.570796327,0.008612925,0,0,0,0,0,-0.523542191,1.036984626,-0.523542313,0,0,-0.523542191,1.036984626,-0.523542313,0,1.570796327,-0.008612925,0,0,0,0,0
0,-0.164262925,1.570796327,0.164162925,0,0,0,0,0,-0.490742191,0.882934626,-0.441462313,0,0,-0.490742191,0.882934626,-0.441462313,0,1.570796327,-0.164162925,0,0,0,0,0
0,-0.153992925,1.570796327,0.153792925,0,0,0,0,0,-0.492792191,0.893204626,-0.446592313,0,0,-0.492792191,0.893204626,-0.446592313,0,1.570796327,-0.153792925,0,0,0,0,0
0,-0.143722925,1.570796327,0.143422925,0,0,0,0,0,-0.494842191,0.903474626,-0.451722313,0,0,-0.494842191,0.903474626,-0.451722313,0,1.570796327,-0.143422925,0,0,0,0,0
0,-0.133452925,1.570796327,0.133052925,0,0,0,0,0,-0.496892191,0.913744626,-0.456852313,0,0,-0.496892191,0.913744626,-0.456852313,0,1.570796327,-0.133052925,0,0,0,0,0
0,-0.123182925,1.570796327,0.122682925,0,0,0,0,0,-0.498942191,0.924014626,-0.461982313,0,0,-0.498942191,0.924014626,-0.461982313,0,1.570796327,-0.122682925,0,0,0,0,0
0,-0.112912925,1.570796327,0.112312925,0,0,0,0,0,-0.500992191,0.934284626,-0.467112313,0,0,-0.500992191,0.934284626,-0.467112313,0,1.570796327,-0.112312925,0,0,0,0,0
0,-0.102642925,1.570796327,0.101942925,0,0,0,0,0,-0.503042191,0.944554626,-0.472242313,0,0,-0.503042191,0.944554626,-0.472242313,0,1.570796327,-0.101942925,0,0,0,0,0
0,-0.092372925,1.570796327,0.091572925,0,0,0,0,0,-0.505092191,0.954824626,-0.477372313,0,0,-0.505092191,0.954824626,-0.477372313,0,1.570796327,-0.091572925,0,0,0,0,0
0,-0.082102925,1.570796327,0.081202925,0,0,0,0,0,-0.507142191,0.965094626,-0.482502313,0,0,-0.507142191,0.965094626,-0.482502313,0,1.570796327,-0.081202925,0,0,0,0,0
0,-0.071832925,1.570796327,0.070832925,0,0,0,0,0,-0.509192191,0.975364626,-0.487632313,0,0,-0.509192191,0.975364626,-0.487632313,0,1.570796327,-0.070832925,0,0,0,0,0
0,-0.061562925,1.570796327,0.060462925,0,0,0,0,0,-0.511242191,0.985634626,-0.492762313,0,0,-0.511242191,0.985634626,-0.492762313,0,1.570796327,-0.060462925,0,0,0,0,0
0,-0.051292925,1.570796327,0.050092925,0,0,0,0,0,-0.513292191,0.995904626,-0.497892313,0,0,-0.513292191,0.995904626,-0.497892313,0,1.570796327,-0.050092925,0,0,0,0,0
0,-0.041022925,1.570796327,0.039722925,0,0,0,0,0,-0.515342191,1.006174626,-0.503022313,0,0,-0.515342191,1.006174626,-0.503022313,0,1.570796327,-0.039722925,0,0,0,0,0
0,-0.030752925,1.570796327,0.029352925,0,0,0,0,0,-0.517392191,1.016444626,-0.508152313,0,0,-0.517392191,1.016444626,-0.508152313,0,1.570796327,-0.029352925,0,0,0,0,0
0,-0.020482925,1.570796327,0.018982925,0,0,0,0,0,-0.519442191,1.026714626,-0.513282313,0,0,-0.519442191,1.026714626,-0.513282313,0,1.570796327,-0.018982925,0,0,0,0,0
