ri  |  i |  Joint Name     | Lower limit  | Upper limit  | Curr Pos
----|----+-----------------+--------------+--------------+----------
 0  |  0 |  HeadYaw        |     -2.08567 |      2.08567 |    0.0
 1  |  1 |  HeadPitch      |    -0.671952 |     0.514872 |    0.0
 2  |  2 |  LHipYawPitch   |     -1.14529 |     0.740718 |    0.0
 3  |  3 |  LHipRoll       |    -0.379435 |      0.79046 |    0.0
 4  |  4 |  LHipPitch      |     -1.53589 |      0.48398 |    0.0
 5  |  5 |  LKneePitch     |   -0.0923279 |      2.11255 |    0.0
 6  |  6 |  LAnklePitch    |     -1.18944 |     0.922581 |    0.0
 7  |  7 |  LAnkleRoll     |    -0.397761 |     0.768992 |    0.0
 -  |  8 |  RHipYawPitch   |     -1.14529 |     0.740718 |    0.0
 8  |  9 |  RHipRoll       |     -0.79046 |     0.379435 |    0.0
 9  | 10 |  RHipPitch      |     -1.53589 |      0.48398 |    0.0
10  | 11 |  RKneePitch     |   -0.0923279 |      2.11255 |    0.0
11  | 12 |  RAnklePitch    |      -1.1863 |     0.932006 |    0.0
12  | 13 |  RAnkleRoll     |    -0.768992 |     0.397761 |    0.0
13  | 14 |  LShoulderPitch |     -2.08567 |      2.08567 |    0.0
14  | 15 |  LShoulderRoll  |    -0.314159 |      1.32645 |    0.0
15  | 16 |  LElbowYaw      |     -2.08567 |      2.08567 |    0.0
16  | 17 |  LElbowRoll     |     -1.54462 |   -0.0349066 |    0.0
17  | 18 |  LWristYaw      |     -1.82387 |      1.82387 |    0.0
18  | 19 |  LHand          |          0.0 |          1.0 |    0.0
 -  | 20 |  LFinger21      |          0.0 |     0.999899 |    0.0
 -  | 21 |  LFinger22      |          0.0 |     0.999899 |    0.0
 -  | 22 |  LFinger23      |          0.0 |     0.999899 |    0.0
 -  | 23 |  LFinger11      |          0.0 |     0.999899 |    0.0
 -  | 24 |  LFinger12      |          0.0 |     0.999899 |    0.0
 -  | 25 |  LFinger13      |          0.0 |     0.999899 |    0.0
 -  | 26 |  LThumb1        |          0.0 |     0.999899 |    0.0
 -  | 27 |  LThumb2        |          0.0 |     0.999899 |    0.0
19  | 28 |  RShoulderPitch |     -2.08567 |      2.08567 |    0.0
20  | 29 |  RShoulderRoll  |     -1.32645 |     0.314159 |    0.0
21  | 30 |  RElbowYaw      |     -2.08567 |      2.08567 |    0.0
22  | 31 |  RElbowRoll     |    0.0349066 |      1.54462 |    0.0
23  | 32 |  RWristYaw      |     -1.82387 |      1.82387 |    0.0
24  | 33 |  RHand          |          0.0 |          1.0 |    0.0
 -  | 34 |  RFinger21      |          0.0 |     0.999899 |    0.0
 -  | 35 |  RFinger22      |          0.0 |     0.999899 |    0.0
 -  | 36 |  RFinger23      |          0.0 |     0.999899 |    0.0
 -  | 37 |  RFinger11      |          0.0 |     0.999899 |    0.0
 -  | 38 |  RFinger12      |          0.0 |     0.999899 |    0.0
 -  | 39 |  RFinger13      |          0.0 |     0.999899 |    0.0
 -  | 40 |  RThumb1        |          0.0 |     0.999899 |    0.0
 -  | 41 |  RThumb2        |          0.0 |     0.999899 |    0.0
